Pseudo-terminal will not be allocated because stdin is not a terminal.
Allocated port 4 for remote forward to localhost:8000
You are not authenticated.
Your tunnel will expire in 60 minutes. Upgrade to Pinggy Pro to get unrestricted tunnels. https://dashboard.pinggy.io
https://cueaa-103-26-49-54.free.pinggy.net
https://nagvj-103-26-49-54.run.pinggy-free.link

RB: 0, SB: 0, TC: 0, AC: 0               
RB: 0, SB: 0, TC: 1, AC: 1               
RB: 0, SB: 0, TC: 1, AC: 1               
RB: 328, SB: 153, TC: 1, AC: 1               
RB: 328, SB: 153, TC: 1, AC: 1               
RB: 328, SB: 153, TC: 1, AC: 1               
RB: 658, SB: 306, TC: 2, AC: 2               
RB: 658, SB: 306, TC: 2, AC: 1               
RB: 658, SB: 306, TC: 2, AC: 0               
RB: 658, SB: 306, TC: 2, AC: 0               
RB: 658, SB: 306, TC: 3, AC: 1               
RB: 658, SB: 306, TC: 3, AC: 1               
RB: 987, SB: 498, TC: 3, AC: 1               
RB: 987, SB: 498, TC: 3, AC: 1               
RB: 987, SB: 498, TC: 3, AC: 1               
RB: 1309, SB: 690, TC: 4, AC: 2               
RB: 1309, SB: 690, TC: 4, AC: 0               
RB: 1309, SB: 690, TC: 4, AC: 0               
RB: 1730, SB: 690, TC: 5, AC: 1               
RB: 1730, SB: 690, TC: 5, AC: 1               
RB: 1730, SB: 4956, TC: 5, AC: 1               
RB: 1730, SB: 4956, TC: 5, AC: 0               
RB: 1730, SB: 4956, TC: 5, AC: 0               
RB: 1730, SB: 4956, TC: 5, AC: 0               
RB: 2516, SB: 5202, TC: 6, AC: 1               
RB: 2516, SB: 5202, TC: 6, AC: 1               
RB: 2516, SB: 5202, TC: 6, AC: 1               
RB: 2516, SB: 5202, TC: 6, AC: 1               
RB: 3241, SB: 84835, TC: 7, AC: 2               
RB: 3241, SB: 84835, TC: 7, AC: 2               
RB: 3241, SB: 84835, TC: 7, AC: 2               
RB: 3241, SB: 84835, TC: 7, AC: 2               
RB: 3241, SB: 84835, TC: 7, AC: 2               
RB: 3241, SB: 84835, TC: 7, AC: 2               
RB: 5540, SB: 85297, TC: 8, AC: 3               
RB: 5540, SB: 85297, TC: 8, AC: 3               
RB: 5540, SB: 85297, TC: 8, AC: 3               
RB: 5540, SB: 85297, TC: 8, AC: 3               
RB: 5540, SB: 85297, TC: 8, AC: 3               
RB: 5540, SB: 85297, TC: 9, AC: 1               
RB: 5540, SB: 85297, TC: 9, AC: 1               
RB: 5540, SB: 85297, TC: 9, AC: 1               
RB: 7044, SB: 165022, TC: 9, AC: 1               
RB: 7044, SB: 165022, TC: 9, AC: 1               
RB: 7044, SB: 165022, TC: 9, AC: 1               
RB: 7044, SB: 165022, TC: 9, AC: 1               
RB: 7044, SB: 165022, TC: 9, AC: 1               
RB: 7044, SB: 165022, TC: 9, AC: 1               
RB: 7044, SB: 165022, TC: 9, AC: 1               
RB: 9343, SB: 165484, TC: 11, AC: 3               
RB: 9343, SB: 165484, TC: 11, AC: 3               
RB: 9343, SB: 165638, TC: 11, AC: 3               
RB: 9343, SB: 165638, TC: 11, AC: 3               
RB: 9343, SB: 165638, TC: 11, AC: 3               
RB: 9343, SB: 165638, TC: 11, AC: 3               
RB: 9343, SB: 165638, TC: 11, AC: 3               
RB: 9343, SB: 165638, TC: 11, AC: 3               
RB: 9343, SB: 165638, TC: 11, AC: 3               
RB: 9343, SB: 165638, TC: 11, AC: 3               
RB: 9343, SB: 165638, TC: 11, AC: 3               
RB: 9343, SB: 165638, TC: 11, AC: 3               
RB: 9343, SB: 165638, TC: 11, AC: 3               
RB: 13146, SB: 245979, TC: 11, AC: 3               
RB: 13146, SB: 245979, TC: 11, AC: 0               
RB: 13146, SB: 245979, TC: 11, AC: 0               
RB: 13146, SB: 245979, TC: 11, AC: 0               
RB: 13472, SB: 246224, TC: 12, AC: 1               
RB: 13472, SB: 246224, TC: 12, AC: 1               
RB: 13472, SB: 246224, TC: 12, AC: 1               
RB: 13795, SB: 246477, TC: 13, AC: 2               
RB: 13795, SB: 246477, TC: 13, AC: 0               
RB: 13795, SB: 246477, TC: 13, AC: 0               
RB: 13795, SB: 246477, TC: 13, AC: 0               
RB: 14574, SB: 326202, TC: 14, AC: 1               
RB: 14574, SB: 326202, TC: 14, AC: 1               
RB: 14574, SB: 326202, TC: 14, AC: 1               
RB: 14574, SB: 326202, TC: 14, AC: 1               
RB: 14574, SB: 326202, TC: 14, AC: 1               
RB: 14574, SB: 326202, TC: 14, AC: 1               
RB: 14574, SB: 326202, TC: 14, AC: 1               
RB: 16758, SB: 526502, TC: 16, AC: 3               
RB: 16758, SB: 526502, TC: 16, AC: 3               
RB: 16758, SB: 526502, TC: 16, AC: 3               
RB: 16758, SB: 526502, TC: 16, AC: 3               
RB: 16758, SB: 526502, TC: 16, AC: 3               
RB: 16758, SB: 526502, TC: 16, AC: 3               
RB: 16758, SB: 526502, TC: 16, AC: 3               
RB: 19097, SB: 558712, TC: 16, AC: 3               
